function,mode,fan,temp_c,coolix,xt_frame
Heat,heat,medium,18,0xB25F1C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAA, 0xBB, 0xAB, 0xBB, 0xAB, 0xEE, 0xFE}"
Heat,heat,medium,19,0xB25F3C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xEA, 0xEE, 0xAE, 0xEE, 0xAA, 0xEE, 0xFE}"
Heat,heat,medium,20,0xB25F2C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xEA, 0xBA, 0xAB, 0xBB, 0xAE, 0xEE, 0xFE}"
Heat,heat,medium,21,0xB25F6C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xBA, 0xEB, 0xAE, 0xAE, 0xAE, 0xEE, 0xFE}"
Heat,heat,medium,22,0xB25F7C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xBA, 0xBB, 0xBB, 0xBA, 0xAA, 0xEE, 0xFE}"
Heat,heat,medium,23,0xB25F5C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xBA, 0xEE, 0xAE, 0xAE, 0xAB, 0xEE, 0xFE}"
Heat,heat,medium,24,0xB25F4C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xBA, 0xBA, 0xAB, 0xEB, 0xAE, 0xEE, 0xFE}"
Heat,heat,medium,25,0xB25FCC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xEE, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xFE}"
Heat,heat,medium,26,0xB25FDC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xEE, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xFE}"
Heat,heat,medium,27,0xB25F9C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xEE, 0xAE, 0xBA, 0xAB, 0xEE, 0xFE}"
Heat,heat,medium,28,0xB25F8C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xBA, 0xAB, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,medium,29,0xB25FAC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xEB, 0xAE, 0xBA, 0xAE, 0xEE, 0xFE}"
Heat,heat,medium,30,0xB25FBC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xBB, 0xBB, 0xEA, 0xAA, 0xEE, 0xFE}"
Heat,heat,high,17,0xB23F0C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAA, 0xEE, 0xEA, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,18,0xB23F1C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAA, 0xBB, 0xAB, 0xBB, 0xAB, 0xEE, 0xFE}"
Heat,heat,high,19,0xB23F3C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEA, 0xEE, 0xAE, 0xEE, 0xAA, 0xEE, 0xFE}"
Heat,heat,high,20,0xB23F2C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEA, 0xBA, 0xAB, 0xBB, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,21,0xB23F6C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xEB, 0xAE, 0xAE, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,22,0xB23F7C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xBB, 0xBB, 0xBA, 0xAA, 0xEE, 0xFE}"
Heat,heat,high,23,0xB23F5C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xEE, 0xAE, 0xAE, 0xAB, 0xEE, 0xFE}"
Heat,heat,high,24,0xB23F4C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xBA, 0xAB, 0xEB, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,25,0xB23FCC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEE, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,26,0xB23FDC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEE, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xFE}"
Heat,heat,high,27,0xB23F9C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xEE, 0xAE, 0xBA, 0xAB, 0xEE, 0xFE}"
Heat,heat,high,28,0xB23F8C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xBA, 0xAB, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,29,0xB23FAC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xEB, 0xAE, 0xBA, 0xAE, 0xEE, 0xFE}"
Heat,heat,high,30,0xB23FBC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xBB, 0xBB, 0xEA, 0xAA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),17,0xB21F08,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAA, 0xAE, 0xBA, 0xBB, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),18,0xB21F18,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAA, 0xBB, 0xEA, 0xEE, 0xEA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),19,0xB21F38,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEA, 0xEE, 0xAA, 0xBB, 0xEA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),20,0xB21F28,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEA, 0xBA, 0xEA, 0xAE, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),21,0xB21F68,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xEB, 0xAA, 0xAB, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),22,0xB21F78,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xBB, 0xAB, 0xAE, 0xEA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),23,0xB21F58,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xEE, 0xAA, 0xEB, 0xEA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),24,0xB21F48,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xBA, 0xEA, 0xBA, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),25,0xB21FC8,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEE, 0xEA, 0xAA, 0xBA, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),26,0xB21FD8,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEE, 0xBA, 0xAB, 0xEA, 0xEA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),27,0xB21F98,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xEE, 0xAA, 0xEE, 0xEA, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),28,0xB21F88,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xBA, 0xAA, 0xBB, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),29,0xB21FA8,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xEB, 0xAA, 0xAE, 0xEB, 0xEE, 0xFE}"
Auto,heat_cool,auto (forced),30,0xB21FB8,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xBB, 0xAB, 0xBA, 0xEA, 0xEE, 0xFE}"
Dry,dry,auto (forced),17,0xB21F04,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAA, 0xBA, 0xBA, 0xBB, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),18,0xB21F14,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAA, 0xEB, 0xEA, 0xEE, 0xBA, 0xEE, 0xFE}"
Dry,dry,auto (forced),19,0xB21F34,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEA, 0xAE, 0xAB, 0xBB, 0xBA, 0xEE, 0xFE}"
Dry,dry,auto (forced),20,0xB21F24,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEA, 0xEA, 0xEA, 0xAE, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),21,0xB21F64,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xAB, 0xAB, 0xAB, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),22,0xB21F74,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xBB, 0xAE, 0xAE, 0xBA, 0xEE, 0xFE}"
Dry,dry,auto (forced),23,0xB21F54,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xAE, 0xAB, 0xEB, 0xBA, 0xEE, 0xFE}"
Dry,dry,auto (forced),24,0xB21F44,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xBA, 0xEA, 0xEA, 0xBA, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),25,0xB21FC4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEE, 0xAA, 0xAB, 0xBA, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),26,0xB21FD4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xEE, 0xBA, 0xAE, 0xEA, 0xBA, 0xEE, 0xFE}"
Dry,dry,auto (forced),27,0xB21F94,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xAE, 0xAB, 0xEE, 0xBA, 0xEE, 0xFE}"
Dry,dry,auto (forced),28,0xB21F84,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xEA, 0xAA, 0xBB, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),29,0xB21FA4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xAB, 0xAB, 0xAE, 0xBB, 0xEE, 0xFE}"
Dry,dry,auto (forced),30,0xB21FB4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAA, 0xBB, 0xBB, 0xBB, 0xBB, 0xAA, 0xAE, 0xBB, 0xAE, 0xBA, 0xBA, 0xEE, 0xFE}"
